Date_last_updated_AEDT,date,countryname,Confirmed,Deaths,Recovered
3/30/2020 09:16,2020-03-30,Afghanistan,120,4,2.0
3/30/2020 09:16,2020-03-30,Albania,223,11,44.0
3/30/2020 09:16,2020-03-30,Algeria,511,31,31.0
3/30/2020 09:16,2020-03-30,Andorra,334,6,6.0
3/30/2020 09:16,2020-03-30,Angola,7,2,0.0
3/30/2020 09:16,2020-03-30,Anguilla,2,0,0.0
3/30/2020 09:16,2020-03-30,Antigua and Barbuda,7,0,0.0
3/30/2020 09:16,2020-03-30,Argentina,820,20,91.0
3/30/2020 09:16,2020-03-30,Armenia,482,3,30.0
3/30/2020 09:16,2020-03-30,Aruba,50,0,1.0
3/30/2020 09:16,2020-03-30,Australia,4245,18,244.0
3/30/2020 09:16,2020-03-30,Austria,9200,108,636.0
3/30/2020 09:16,2020-03-30,Azerbaijan,209,4,15.0
3/30/2020 09:16,2020-03-30,Bahamas,14,0,1.0
3/30/2020 09:16,2020-03-30,Bahrain,515,4,279.0
3/30/2020 09:16,2020-03-30,Bangladesh,49,5,19.0
3/30/2020 09:16,2020-03-30,Barbados,33,0,0.0
3/30/2020 09:16,2020-03-30,Belarus,94,0,32.0
3/30/2020 09:16,2020-03-30,Belgium,11899,513,1527.0
3/30/2020 09:16,2020-03-30,Belize,2,0,0.0
3/30/2020 09:16,2020-03-30,Benin,6,0,0.0
3/30/2020 09:16,2020-03-30,Bermuda,22,0,2.0
3/30/2020 09:16,2020-03-30,Bhutan,4,0,0.0
3/30/2020 09:16,2020-03-30,Bolivia,96,3,0.0
3/30/2020 09:16,2020-03-30,Bosnia and Herzegovina,354,8,17.0
3/30/2020 09:16,2020-03-30,Brazil,4316,139,120.0
3/30/2020 09:16,2020-03-30,British Virgin Islands,2,0,0.0
3/30/2020 09:16,2020-03-30,Brunei,127,1,38.0
3/30/2020 09:16,2020-03-30,Bulgaria,354,8,15.0
3/30/2020 09:16,2020-03-30,Burkina Faso,222,12,23.0
3/30/2020 09:16,2020-03-30,CAR,3,0,0.0
3/30/2020 09:16,2020-03-30,Cabo Verde,6,1,0.0
3/30/2020 09:16,2020-03-30,Cambodia,107,0,21.0
3/30/2020 09:16,2020-03-30,Cameroon,139,6,5.0
3/30/2020 09:16,2020-03-30,Canada,6320,65,573.0
3/30/2020 09:16,2020-03-30,Cayman Islands,12,1,0.0
3/30/2020 09:16,2020-03-30,Chad,3,0,0.0
3/30/2020 09:16,2020-03-30,Channel Islands,108,2,0.0
3/30/2020 09:16,2020-03-30,Chile,2139,7,75.0
3/30/2020 09:16,2020-03-30,China,81470,3304,75700.0
3/30/2020 09:16,2020-03-30,Colombia,702,10,10.0
3/30/2020 09:16,2020-03-30,Congo,19,0,0.0
3/30/2020 09:16,2020-03-30,Costa Rica,314,2,3.0
3/30/2020 09:16,2020-03-30,Croatia,790,6,55.0
3/30/2020 09:16,2020-03-30,Cuba,139,3,4.0
3/30/2020 09:16,2020-03-30,Curacao,8,1,2.0
3/30/2020 09:16,2020-03-30,Cyprus,214,6,15.0
3/30/2020 09:16,2020-03-30,Czechia,2866,17,11.0
3/30/2020 09:16,2020-03-30,DRC,81,8,2.0
3/30/2020 09:16,2020-03-30,Denmark,2555,77,1.0
3/30/2020 09:16,2020-03-30,Djibouti,18,0,0.0
3/30/2020 09:16,2020-03-30,Dominica,11,0,0.0
3/30/2020 09:16,2020-03-30,Dominican Republic,859,39,3.0
3/30/2020 09:16,2020-03-30,Ecuador,1924,58,3.0
3/30/2020 09:16,2020-03-30,Egypt,609,40,132.0
3/30/2020 09:16,2020-03-30,El Salvador,30,0,0.0
3/30/2020 09:16,2020-03-30,Equatorial Guinea,12,0,0.0
3/30/2020 09:16,2020-03-30,Eritrea,12,0,0.0
3/30/2020 09:16,2020-03-30,Estonia,715,3,20.0
3/30/2020 09:16,2020-03-30,Eswatini,9,0,0.0
3/30/2020 09:16,2020-03-30,Ethiopia,23,0,1.0
3/30/2020 09:16,2020-03-30,Faeroe Islands,168,0,70.0
3/30/2020 09:16,2020-03-30,Fiji,5,0,0.0
3/30/2020 09:16,2020-03-30,Finland,1352,13,10.0
3/30/2020 09:16,2020-03-30,France,40174,2606,7202.0
3/30/2020 09:16,2020-03-30,French Guiana,43,0,6.0
3/30/2020 09:16,2020-03-30,French Polynesia,35,0,0.0
3/30/2020 09:16,2020-03-30,Gabon,7,1,0.0
3/30/2020 09:16,2020-03-30,Gambia,4,1,0.0
3/30/2020 09:16,2020-03-30,Georgia,98,0,18.0
3/30/2020 09:16,2020-03-30,Germany,62435,541,9211.0
3/30/2020 09:16,2020-03-30,Ghana,152,5,2.0
3/30/2020 09:16,2020-03-30,Gibraltar,65,0,14.0
3/30/2020 09:16,2020-03-30,Greece,1156,39,52.0
3/30/2020 09:16,2020-03-30,Greenland,10,0,2.0
3/30/2020 09:16,2020-03-30,Grenada,9,0,0.0
3/30/2020 09:16,2020-03-30,Guadeloupe,106,4,17.0
3/30/2020 09:16,2020-03-30,Guatemala,34,1,10.0
3/30/2020 09:16,2020-03-30,Guinea,16,0,0.0
3/30/2020 09:16,2020-03-30,Guinea-Bissau,2,0,0.0
3/30/2020 09:16,2020-03-30,Guyana,8,1,0.0
3/30/2020 09:16,2020-03-30,Haiti,15,0,1.0
3/30/2020 09:16,2020-03-30,Honduras,139,3,3.0
3/30/2020 09:16,2020-03-30,Hong Kong,642,4,118.0
3/30/2020 09:16,2020-03-30,Hungary,447,15,34.0
3/30/2020 09:16,2020-03-30,Iceland,1020,2,135.0
3/30/2020 09:16,2020-03-30,India,1071,29,100.0
3/30/2020 09:16,2020-03-30,Indonesia,1414,122,75.0
3/30/2020 09:16,2020-03-30,Iran,41495,2757,13911.0
3/30/2020 09:16,2020-03-30,Iraq,547,42,143.0
3/30/2020 09:16,2020-03-30,Ireland,2615,46,5.0
3/30/2020 09:16,2020-03-30,Isle of Man,46,0,0.0
3/30/2020 09:16,2020-03-30,Israel,4347,16,134.0
3/30/2020 09:16,2020-03-30,Italy,97689,10779,13030.0
3/30/2020 09:16,2020-03-30,Ivory Coast,165,1,4.0
3/30/2020 09:16,2020-03-30,Jamaica,32,1,2.0
3/30/2020 09:16,2020-03-30,Japan,2578,64,1027.0
3/30/2020 09:16,2020-03-30,Jordan,259,4,18.0
3/30/2020 09:16,2020-03-30,Kazakhstan,294,1,20.0
3/30/2020 09:16,2020-03-30,Kenya,42,1,1.0
3/30/2020 09:16,2020-03-30,Kuwait,266,0,72.0
3/30/2020 09:16,2020-03-30,Kyrgyzstan,94,0,0.0
3/30/2020 09:16,2020-03-30,Laos,8,0,0.0
3/30/2020 09:16,2020-03-30,Latvia,376,0,1.0
3/30/2020 09:16,2020-03-30,Lebanon,446,11,32.0
3/30/2020 09:16,2020-03-30,Liberia,3,0,0.0
3/30/2020 09:16,2020-03-30,Libya,8,0,0.0
3/30/2020 09:16,2020-03-30,Liechtenstein,62,0,0.0
3/30/2020 09:16,2020-03-30,Lithuania,484,7,1.0
3/30/2020 09:16,2020-03-30,Luxembourg,1950,21,40.0
3/30/2020 09:16,2020-03-30,MS Zaandam,2,0,0.0
3/30/2020 09:16,2020-03-30,Macau,38,0,10.0
3/30/2020 09:16,2020-03-30,Madagascar,39,0,0.0
3/30/2020 09:16,2020-03-30,Malaysia,2626,37,479.0
3/30/2020 09:16,2020-03-30,Maldives,17,0,13.0
3/30/2020 09:16,2020-03-30,Mali,25,2,0.0
3/30/2020 09:16,2020-03-30,Malta,156,0,2.0
3/30/2020 09:16,2020-03-30,Martinique,93,1,0.0
3/30/2020 09:16,2020-03-30,Mauritania,5,0,2.0
3/30/2020 09:16,2020-03-30,Mauritius,110,3,0.0
3/30/2020 09:16,2020-03-30,Mayotte,82,0,10.0
3/30/2020 09:16,2020-03-30,Mexico,993,20,35.0
3/30/2020 09:16,2020-03-30,Moldova,263,2,13.0
3/30/2020 09:16,2020-03-30,Monaco,46,1,1.0
3/30/2020 09:16,2020-03-30,Mongolia,12,0,2.0
3/30/2020 09:16,2020-03-30,Montenegro,91,1,0.0
3/30/2020 09:16,2020-03-30,Montserrat,5,0,0.0
3/30/2020 09:16,2020-03-30,Morocco,516,27,13.0
3/30/2020 09:16,2020-03-30,Mozambique,8,0,0.0
3/30/2020 09:16,2020-03-30,Myanmar,10,0,0.0
3/30/2020 09:16,2020-03-30,Namibia,11,0,2.0
3/30/2020 09:16,2020-03-30,Nepal,5,0,1.0
3/30/2020 09:16,2020-03-30,Netherlands,11750,864,250.0
3/30/2020 09:16,2020-03-30,New Caledonia,15,0,0.0
3/30/2020 09:16,2020-03-30,New Zealand,589,1,63.0
3/30/2020 09:16,2020-03-30,Nicaragua,4,1,0.0
3/30/2020 09:16,2020-03-30,Niger,22,3,0.0
3/30/2020 09:16,2020-03-30,Nigeria,111,1,3.0
3/30/2020 09:16,2020-03-30,North Macedonia,259,6,3.0
3/30/2020 09:16,2020-03-30,Norway,4393,31,12.0
3/30/2020 09:16,2020-03-30,Oman,179,0,29.0
3/30/2020 09:16,2020-03-30,Pakistan,1625,20,29.0
3/30/2020 09:16,2020-03-30,Palestine,115,1,18.0
3/30/2020 09:16,2020-03-30,Panama,989,24,4.0
3/30/2020 09:16,2020-03-30,Papua New Guinea,1,0,0.0
3/30/2020 09:16,2020-03-30,Paraguay,64,3,1.0
3/30/2020 09:16,2020-03-30,Peru,852,18,16.0
3/30/2020 09:16,2020-03-30,Philippines,1546,78,42.0
3/30/2020 09:16,2020-03-30,Poland,1905,26,7.0
3/30/2020 09:16,2020-03-30,Portugal,6408,140,43.0
3/30/2020 09:16,2020-03-30,Qatar,634,1,48.0
3/30/2020 09:16,2020-03-30,Reunion,183,0,1.0
3/30/2020 09:16,2020-03-30,Romania,1952,46,206.0
3/30/2020 09:16,2020-03-30,Russia,1836,9,66.0
3/30/2020 09:16,2020-03-30,Rwanda,70,0,0.0
3/30/2020 09:16,2020-03-30,Saint Kitts and Nevis,7,0,0.0
3/30/2020 09:16,2020-03-30,Saint Lucia,9,0,1.0
3/30/2020 09:16,2020-03-30,Saint Martin,11,0,0.0
3/30/2020 09:16,2020-03-30,San Marino,230,25,13.0
3/30/2020 09:16,2020-03-30,Saudi Arabia,1299,8,66.0
