Date_last_updated_AEDT,date,countryname,Confirmed,Deaths,Recovered
2020-03-20 15:30:00,2020-03-20,Afghanistan,22,0,1
2020-03-19 22:30:00,2020-03-19,Afghanistan,22,0,1
2020-03-18 23:00:00,2020-03-18,Afghanistan,22,0,1
2020-03-17 22:00:00,2020-03-17,Afghanistan,22,0,1
2020-03-16 22:00:00,2020-03-16,Afghanistan,21,0,1
2020-03-15 22:00:00,2020-03-15,Afghanistan,16,0,1
2020-03-14 22:00:00,2020-03-14,Afghanistan,10,0,0
2020-03-13 22:00:00,2020-03-13,Afghanistan,7,0,0
2020-03-12 22:00:00,2020-03-12,Afghanistan,7,0,0
2020-03-11 22:00:00,2020-03-11,Afghanistan,7,0,0
2020-03-10 22:00:00,2020-03-10,Afghanistan,4,0,0
2020-03-09 22:00:00,2020-03-09,Afghanistan,4,0,0
2020-03-08 22:00:00,2020-03-08,Afghanistan,4,0,0
2020-03-07 22:00:00,2020-03-07,Afghanistan,1,0,0
2020-03-06 22:00:00,2020-03-06,Afghanistan,1,0,0
2020-03-05 22:00:00,2020-03-05,Afghanistan,1,0,0
2020-03-04 22:00:00,2020-03-04,Afghanistan,1,0,0
2020-03-03 22:00:00,2020-03-03,Afghanistan,1,0,0
2020-03-02 22:00:00,2020-03-02,Afghanistan,1,0,0
2020-03-01 22:00:00,2020-03-01,Afghanistan,1,0,0
2020-02-29 22:00:00,2020-02-29,Afghanistan,1,0,0
2020-02-28 22:00:00,2020-02-28,Afghanistan,1,0,0
2020-02-27 22:00:00,2020-02-27,Afghanistan,1,0,0
2020-02-26 22:00:00,2020-02-26,Afghanistan,1,0,0
2020-02-25 22:00:00,2020-02-25,Afghanistan,1,0,0
2020-02-24 22:00:00,2020-02-24,Afghanistan,1,0,0
2020-02-23 22:00:00,2020-02-23,Afghanistan,0,0,0
2020-02-22 22:00:00,2020-02-22,Afghanistan,0,0,0
2020-02-21 22:00:00,2020-02-21,Afghanistan,0,0,0
2020-02-20 22:00:00,2020-02-20,Afghanistan,0,0,0
2020-02-19 22:00:00,2020-02-19,Afghanistan,0,0,0
2020-02-18 22:00:00,2020-02-18,Afghanistan,0,0,0
2020-02-17 22:00:00,2020-02-17,Afghanistan,0,0,0
2020-02-16 22:00:00,2020-02-16,Afghanistan,0,0,0
2020-02-15 22:00:00,2020-02-15,Afghanistan,0,0,0
2020-02-14 22:00:00,2020-02-14,Afghanistan,0,0,0
2020-02-13 22:00:00,2020-02-13,Afghanistan,0,0,0
2020-02-12 22:00:00,2020-02-12,Afghanistan,0,0,0
