regiao,estado,data,casosNovos,casosAcumulados,obitosNovos,obitosAcumulados,last_update
Norte,RO,30/01/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,31/01/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,01/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,02/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,03/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,04/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,05/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,06/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,07/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,08/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,09/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,10/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,11/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,12/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,13/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,14/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,15/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,16/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,17/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,18/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,19/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,20/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,21/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,22/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,23/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,24/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,25/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,26/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,27/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,28/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,29/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,01/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,02/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,03/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,04/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,05/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,06/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,07/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,08/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,09/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,10/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,11/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,12/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,13/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,14/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,15/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,16/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,17/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,18/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,19/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,RO,20/03/2020,1,1,0.0,0.0,2020-04-24 18:27
Norte,RO,21/03/2020,0,1,0.0,0.0,2020-04-24 18:27
Norte,RO,22/03/2020,2,3,0.0,0.0,2020-04-24 18:27
Norte,RO,23/03/2020,0,3,0.0,0.0,2020-04-24 18:27
Norte,RO,24/03/2020,0,3,0.0,0.0,2020-04-24 18:27
Norte,RO,25/03/2020,2,5,0.0,0.0,2020-04-24 18:27
Norte,RO,26/03/2020,0,5,0.0,0.0,2020-04-24 18:27
Norte,RO,27/03/2020,1,6,0.0,0.0,2020-04-24 18:27
Norte,RO,28/03/2020,0,6,0.0,0.0,2020-04-24 18:27
Norte,RO,29/03/2020,0,6,0.0,0.0,2020-04-24 18:27
Norte,RO,30/03/2020,0,6,0.0,0.0,2020-04-24 18:27
Norte,RO,31/03/2020,2,8,1.0,1.0,2020-04-24 18:27
Norte,RO,01/04/2020,1,9,0.0,1.0,2020-04-24 18:27
Norte,RO,02/04/2020,1,10,0.0,1.0,2020-04-24 18:27
Norte,RO,03/04/2020,0,10,0.0,1.0,2020-04-24 18:27
Norte,RO,04/04/2020,1,11,0.0,1.0,2020-04-24 18:27
Norte,RO,05/04/2020,1,12,0.0,1.0,2020-04-24 18:27
Norte,RO,06/04/2020,2,14,0.0,1.0,2020-04-24 18:27
Norte,RO,07/04/2020,4,18,0.0,1.0,2020-04-24 18:27
Norte,RO,08/04/2020,0,18,0.0,1.0,2020-04-24 18:27
Norte,RO,09/04/2020,10,28,1.0,2.0,2020-04-24 18:27
Norte,RO,10/04/2020,4,32,0.0,2.0,2020-04-24 18:27
Norte,RO,11/04/2020,1,33,0.0,2.0,2020-04-24 18:27
Norte,RO,12/04/2020,2,35,0.0,2.0,2020-04-24 18:27
Norte,RO,13/04/2020,7,42,0.0,2.0,2020-04-24 18:27
Norte,RO,14/04/2020,22,64,0.0,2.0,2020-04-24 18:27
Norte,RO,15/04/2020,5,69,0.0,2.0,2020-04-24 18:27
Norte,RO,16/04/2020,7,76,1.0,3.0,2020-04-24 18:27
Norte,RO,17/04/2020,16,92,0.0,3.0,2020-04-24 18:27
Norte,RO,18/04/2020,18,110,0.0,3.0,2020-04-24 18:27
Norte,RO,19/04/2020,18,128,1.0,4.0,2020-04-24 18:27
Norte,RO,20/04/2020,32,160,0.0,4.0,2020-04-24 18:27
Norte,RO,21/04/2020,39,199,0.0,4.0,2020-04-24 18:27
Norte,RO,22/04/2020,24,223,1.0,5.0,2020-04-24 18:27
Norte,RO,23/04/2020,27,250,0.0,5.0,2020-04-24 18:27
Norte,RO,24/04/2020,40,290,0.0,5.0,2020-04-24 18:27
Norte,AC,30/01/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,31/01/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,01/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,02/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,03/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,04/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,05/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,06/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,07/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,08/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,09/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,10/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,11/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,12/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,13/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,14/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,15/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,16/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,17/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,18/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,19/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,20/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,21/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,22/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,23/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,24/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,25/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,26/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,27/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,28/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,29/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,01/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,02/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,03/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,04/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,05/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,06/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,07/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,08/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,09/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,10/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,11/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,12/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,13/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,14/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,15/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,16/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,17/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,18/03/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AC,19/03/2020,3,3,0.0,0.0,2020-04-24 18:27
Norte,AC,20/03/2020,4,7,0.0,0.0,2020-04-24 18:27
Norte,AC,21/03/2020,2,9,0.0,0.0,2020-04-24 18:27
Norte,AC,22/03/2020,2,11,0.0,0.0,2020-04-24 18:27
Norte,AC,23/03/2020,0,11,0.0,0.0,2020-04-24 18:27
Norte,AC,24/03/2020,6,17,0.0,0.0,2020-04-24 18:27
Norte,AC,25/03/2020,6,23,0.0,0.0,2020-04-24 18:27
Norte,AC,26/03/2020,1,24,0.0,0.0,2020-04-24 18:27
Norte,AC,27/03/2020,1,25,0.0,0.0,2020-04-24 18:27
Norte,AC,28/03/2020,0,25,0.0,0.0,2020-04-24 18:27
Norte,AC,29/03/2020,9,34,0.0,0.0,2020-04-24 18:27
Norte,AC,30/03/2020,8,42,0.0,0.0,2020-04-24 18:27
Norte,AC,31/03/2020,0,42,0.0,0.0,2020-04-24 18:27
Norte,AC,01/04/2020,1,43,0.0,0.0,2020-04-24 18:27
Norte,AC,02/04/2020,0,43,0.0,0.0,2020-04-24 18:27
Norte,AC,03/04/2020,3,46,0.0,0.0,2020-04-24 18:27
Norte,AC,04/04/2020,0,46,0.0,0.0,2020-04-24 18:27
Norte,AC,05/04/2020,2,48,0.0,0.0,2020-04-24 18:27
Norte,AC,06/04/2020,2,50,0.0,0.0,2020-04-24 18:27
Norte,AC,07/04/2020,0,50,1.0,1.0,2020-04-24 18:27
Norte,AC,08/04/2020,4,54,1.0,2.0,2020-04-24 18:27
Norte,AC,09/04/2020,8,62,0.0,2.0,2020-04-24 18:27
Norte,AC,10/04/2020,8,70,0.0,2.0,2020-04-24 18:27
Norte,AC,11/04/2020,2,72,0.0,2.0,2020-04-24 18:27
Norte,AC,12/04/2020,5,77,0.0,2.0,2020-04-24 18:27
Norte,AC,13/04/2020,13,90,1.0,3.0,2020-04-24 18:27
Norte,AC,14/04/2020,9,99,0.0,3.0,2020-04-24 18:27
Norte,AC,15/04/2020,2,101,0.0,3.0,2020-04-24 18:27
Norte,AC,16/04/2020,9,110,2.0,5.0,2020-04-24 18:27
Norte,AC,17/04/2020,25,135,0.0,5.0,2020-04-24 18:27
Norte,AC,18/04/2020,7,142,0.0,5.0,2020-04-24 18:27
Norte,AC,19/04/2020,21,163,1.0,6.0,2020-04-24 18:27
Norte,AC,20/04/2020,13,176,2.0,8.0,2020-04-24 18:27
Norte,AC,21/04/2020,19,195,0.0,8.0,2020-04-24 18:27
Norte,AC,22/04/2020,19,214,0.0,8.0,2020-04-24 18:27
Norte,AC,23/04/2020,13,227,2.0,10.0,2020-04-24 18:27
Norte,AC,24/04/2020,7,234,1.0,11.0,2020-04-24 18:27
Norte,AM,30/01/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,31/01/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,01/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,02/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,03/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,04/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,05/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,06/02/2020,0,0,0.0,0.0,2020-04-24 18:27
Norte,AM,07/02/2020,0,0,0.0,0.0,2020-04-24 18:27
