Descrição,Valor Total,Nº Processo (SES-PRC),CNPJ,Fornecedor,Vigência (180 dias),last_update
Prestação de Serviços de Telemedicina,3700000.0,2020-12.031,60.765.823/0001-30,SOCIEDADE BENEFICIENTE ISRAELITA ALB EINSTEN,13/09/2020,2020-04-24
"Avental Descartavel; Em Nao Tecido, 100% Polipropileno (tnt), Laminado, Impermeavel, Nao Esteril, 50g/m2; Acabamento Em Overlock, Com Barreira deProtecao Hidrorrepelente, Hipoalergico, Tamanho 120 x 150 (a x L); Manga Longa Com Punho Em Malha Canelada Na Cor Branca, Avental Azul Claro OuVerde Claro; Decote Com Com Tiras para Amarrar e Na Cintura, Com Aberturatraseira; Embalado Em Material Que Garanta a Integridade do Produto; oProduto Devera Obedecer a Legislacao Vigente.;",4992000.0,2020-12.375,02.881.877/0001-64,POLAR FIX IND E COM.PROD.HOSPITALARES LTD,13/09/2020,2020-04-24
"HIGIENIZADOREM ESPUMA, NEUTRO,COMPOSTO DE ALCOOLETILICO 70%, ALCOOLISOPROPILICO MENOR QUE5%,INDICADO PARA AÇÃOBACTERICIDA E ANTISSEPTICA PARA MÃOS, ACONDICIONADO EM EMBALAGEM C/VALVULA ANTI-RETORNO C/DISPENSAÇÃO ENTRE 0,4ML A 0,8ML,PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA AOS PROCEDIMENTOS ADM. DETERMINADOS PELA ANVISA, VALIDADE MINIMA DE 12 MESES",4368000.0,2020-12.482,08.304.991/0001-08,PS DISTRIBUIDORA DE PRODUTOS DA SAUDE LTD,13/09/2020,2020-04-24
"HIGIENIZADOREM ESPUMAANTISSEPTICODE MAOS,INCOLOR,COMPOSTODEALCOOLETILICO70%.ALCOOLISOPROPILICO,AGENTESCOMPLEMENTARRES PARA HIDRATACAO DA PELE, ACONDICIONADO EM VALVULA DOSADORA TIPO PUMP, ANTI RETORNO, COM SUPORTE ADAPTAVEL,PARA BE IRA DE LEITO E SUPORTE DE SORO, ACONDICIONADO EM FRASCO PLASTICO, PRODUTO SUJEITO A VERIFICACAO NO ATO DA ENTREGA DEACORDO COM A LEGISLACAO VIGENTE. AOS PROCEDIMENTOS ADM. DETERMINADOS PELA ANVISA, VALIDADE MINIMA 12 MESES",560014.0,2020-12.482,08.304.991/0001-08,PS DISTRIBUIDORA DE PRODUTOS DA SAUDE LTD,13/09/2020,2020-04-24
"CAMA HOSPITALAR, COM MOVIMENTOS ELETRICOS:FOWLER,TRENDELENBURG, DORSO,PERNAS E ELEVACAO, NAS DIMENSOES (C X L X A) DE 190 X 80 X55 A 80 CM INTERNAS. 215 X 100 CM EXTERNAS. CAPACIDADE 180 KG, 4 RODIZIOS DE 125 MM, SENDO 2 COM FREIOS EM DIAGONAL, ESTRUTURA EMCHAPA DE ACO, COM PINTURA EPOXI APOS TRATAMENTO ANTIFERRUGINOSO. BASE REVESTIDA EM MAT.TERMOPL., ESTRADO EM CHAPA DE ACO DE1,5 MM DE ESPESSURA, ARTICULADO, PERFURADO, C/ 04 SECCOES, CABECEIRA EM TUBO DE ACO INOX OU POLIURETANO INJETADO ATE AALTURA DOCOLCHAO, PESEIRA EM TUBO DE ACO INOX OU POLIURETANO INJETADO ATE AALTURA DO COLCHAO, COM PARA-CHOQUES DE BORRACHA EM TODAVOLTA, COM GRADES LATERAIS EM TUBO DE ACO INOX OU 02 PARES EM POLIURETANO INJETADO. SUPORTE DE SORO EM ACO INOX, COM COLCHAODENSIDADE 28 C/12CM DE ESPESSURA, REVESTIDO EM COURVIM.ALIMENTACAO 127 OU 220 V.BATERIA RECARREGAVEL, ACOMPANHANDO SUPORTEDE SORO,INOX. CERTIFICACAO ABNT NBR IEC 60",1380000.0,2020-12.508,54.178.983/0001-80,HOSPIMETAL IND METALURGICA EQUI,15/09/2020,2020-04-24
"SERVICO DE LOCACAO, CONTAINER REFRIGERADO, TENDO COMO FUNÇÃO A PRESTAÇÃO DE SERVIÇOS DE PRIMEIRO ATENDIMENTO AOS PACIENTESCOM SUSPEITA DE SEREM PORTADORES DO VÍRUS COVID-19",308200.0,2020-12.879,05.411.043/0001-83,CONSTRUMEX CONSTRUÇÃO LTDA,16/09/2020,2020-04-24
"OCULOS CIRURGICO DE PROTEÇÃO, EM MATERIAL ACRILICO OU SIMILAR SEM REBARBAS,ATOXICO, COM ADAPTACAO CONFORTAVEL AO ROSTO EPROTETOR LATERAL, EMBALADO EM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, A APRESENTACAO DO PRODUTO DEVERA OBEDECER ALEGISLACAO ATUAL VIGENTE",16957.5,2020-12.919,07.439.329/0003-64,"DVT COMERCIO,IMPORTAÇÃO E EXPORTAÇÃO LTDA",15/09/2020,2020-04-24
"OCULOS CIRURGICO DE PROTEÇÃO, EM MATERIAL ACRILICO OU SIMILAR LENTE UNICA, TIPO AMPLA VISAO,INCOLOR, EM POLICARBONATO ANTI-EMBACANTE E ARMACAO EM PVC MALEAVEL, COM CONFORTÁVEL AO CONTORNO DO ROSTO C/REGULAGEM DE COMPRIMENTO E VENTILACAODIRETA SUPERIOR, EMBALADO EM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, A APRESENTACAO DO PRODUTO DEVERA OBEDECER ALEGISLACAO VIGENTE COM CERTIFICADO DE APROVAÇÃO (CA) VALIDO",24311.07,2020-12.919,07.439.329/0003-64,"DVT COMERCIO,IMPORTAÇÃO E EXPORTAÇÃO LTDA",15/09/2020,2020-04-24
"AVENTAL DESCARTAVEL,EM NAO TECIDO,100% POLIPROPILENO (TNT),LAMINADO, ABSORVENTEEIMPERMEAVEL, NAO ESTERIL,50G/M2,ACABAMENTO EM FECHAMENTO NAS COSTAS E CINTURA COM SISTEMA DE AJUSTE E FIXACAO ATRAVES DE DOIS PARES DE AMARRILHOS, MANGALONGA COM PUNHO EM MALHA CANELADA NA COLORIDO MEDINDO APROXIMADAMENTE 1,30 X 1,50, DECOTE COM VIÉS, TIRAS COSTURADAS, EMMATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERA OBEDECER A LEGISLAÇÃO VIGENTE",4750000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
"AVENTAL DESCARTAVEL, EM NAO TECIDO (100% POLIPROPILENO), GRAMATURA 30 A 40G/M², NAO ESTERIL, PARA USO CLINICO E LABORATORIAL,ACABAMENTO EM OVERLOCK, COM PAR DE FITILHOS PARA AMARRAR NAS COSTAS E NO PESCOÇO, MANGA LONGA, COM LATEX NO PUNHO, SEMDECOTE, MEDINDO APROXIMADAMENTE 1,20 X 1,40CM, EMBALADO EM MATERIAL QUE GARANTA A INTEGRIDADE DO PRODUTO, O PRODUTO DEVERAOBEDECER A LEGISLACAO ATUAL VIGENTE.",3300000.0,2020-12.922,27.608.037/0001-53,DEJAMARO IND E COM DE PROD MED HOSP LTDA,14/09/2020,2020-04-24
