ID_DOC;Número do Processo;Sigla Órgão;Órgão;Descrição;Tipo de Processo;SIGLA_ORGAO_USU1;SIGLA_FORMA_DOC;Ano de emissão;NUM_EXPEDIENTE
1768182;SES-PRC-2020/00278;SES;Secretaria da Saúde;"AQUISIÇÃO DE MEDICAMENTO-CABOZANTINIBE 60MG - 1º ATENDIMENTO - DEMANDA JUDICIAL- DISPENSA DE LICITAÇÃO - INCISO IV; COORDENADORIA DE ASSISTÊNCIA FARMACÊUTICA - CAF; SES-EXP-2019/13540 E OFICIO CAF 1.812/19 .";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;278
1797483;SES-PRC-2020/00533;SES;Secretaria da Saúde;"AQUISIÇÃO DOS MEDICAMENTOS SUCCINATO DE RIBOCICLIBE / 200 MG E MEPOLIZUMABE / 100MG - SEM EXIGÊNCIA DE MARCA COMERCIAL - DEMANDAS JUDICIAIS - DISPENSA DE LICITAÇÃO - INCISO IV; COORDENADORIA ASSISTÊNCIA FARMACÊUTICA - CAF; SES-EXP-2019/11069 E SES-EXP-2019/09579.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;533
2185953;SES-PRC-2020/03849;SES;Secretaria da Saúde;"aquisição de Respirador Pulmonar trilogy para atender ação judicial; Maria Cecilia Locce Campanholi; of.031-2020.";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;3849
2256547;SES-PRC-2020/04437;SES;Secretaria da Saúde;"Reagente Master Mix para o Diagnóstico de Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;4437
2258570;SES-PRC-2020/04451;SES;Secretaria da Saúde;"Aquisição de Oligonucleotídeos para o Diagnóstico do Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;4451
2293612;SES-PRC-2020/04651;SES;Secretaria da Saúde;"Aquisição de Oli- Coronavirus; Grupo de Gerenciamento Administrativo - GGA/CCD;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;4651
2324655;SEDUC-PRC-2020/05834;SEDUC;Secretaria da Educação;"Contratação de prestação de serviços de limpeza de ambiente escolar, através de dispensa de licitação, nos termos do art. 24, Inciso IV, da Lei 8.666/93; Diretoria de Ensino Região de Presidente Prudente;";Gestão de Bens Materiais e Patrimoniais: Processo de contratação de serviços terceirizados;SEDUC;PRC;2020;5834
2354929;SES-PRC-2020/05053;SES;Secretaria da Saúde;"insumos para sistema Minion, para diagnóstico do Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;5053
2355022;SES-PRC-2020/05054;SES;Secretaria da Saúde;"Kit Dnase I e dNTPs Mix, para diagnóstico do Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;5054
2355112;SES-PRC-2020/05055;SES;Secretaria da Saúde;"Esferas magnéticas, para diagnóstico do Coronavírus; Instituto Adolfo Lutz;";Gestão de Bens Materiais e Patrimoniais: Processo de aquisição de material de consumo;SES;PRC;2020;5055
