city,city_ibge_code,confirmed,confirmed_per_100k_inhabitants,date,death_rate,deaths,estimated_population_2019,is_last,place_type,state,last_update
,35,1052,2.29099,2020-03-26,0.0551,58.0,45919049.0,True,state,SP,2020-03-27 10:17:05.220119
São Paulo,3550308,899,7.33756,2020-03-26,0.059,53.0,12252023.0,True,city,SP,2020-03-27 10:17:05.220119
,35,862,1.87722,2020-03-25,0.0557,48.0,45919049.0,False,state,SP,2020-03-27 10:17:05.220119
,35,810,1.76397,2020-03-24,0.0494,40.0,45919049.0,False,state,SP,2020-03-27 10:17:05.220119
,35,745,1.62242,2020-03-23,0.0403,30.0,45919049.0,False,state,SP,2020-03-27 10:17:05.220119
São Paulo,3550308,722,5.8929,2020-03-25,0.0609,44.0,12252023.0,False,city,SP,2020-03-27 10:17:05.220119
,33,421,2.43847,2020-03-26,0.0214,9.0,17264943.0,True,state,RJ,2020-03-27 10:17:05.220119
,33,370,2.14307,2020-03-25,0.0216,8.0,17264943.0,False,state,RJ,2020-03-27 10:17:05.220119
Rio de Janeiro,3304557,368,5.47708,2020-03-26,0.0163,6.0,6718903.0,True,city,RJ,2020-03-27 10:17:05.220119
Rio de Janeiro,3304557,331,4.9264,2020-03-25,0.0151,5.0,6718903.0,False,city,RJ,2020-03-27 10:17:05.220119
,33,305,1.76659,2020-03-24,0.0197,6.0,17264943.0,False,state,RJ,2020-03-27 10:17:05.220119
Rio de Janeiro,3304557,276,4.10781,2020-03-24,0.0109,3.0,6718903.0,False,city,RJ,2020-03-27 10:17:05.220119
,23,238,2.6062,2020-03-26,0.0126,3.0,9132078.0,True,state,CE,2020-03-27 10:17:05.220119
,33,233,1.34956,2020-03-23,0.0172,4.0,17264943.0,False,state,RJ,2020-03-27 10:17:05.220119
Fortaleza,2304400,224,8.39158,2020-03-26,0.0134,3.0,2669342.0,True,city,CE,2020-03-27 10:17:05.220119
Rio de Janeiro,3304557,212,3.15528,2020-03-23,0.0047,1.0,6718903.0,False,city,RJ,2020-03-27 10:17:05.220119
,23,211,2.31054,2020-03-25,,0.0,9132078.0,False,state,CE,2020-03-27 10:17:05.220119
Fortaleza,2304400,196,7.34263,2020-03-25,,0.0,2669342.0,False,city,CE,2020-03-27 10:17:05.220119
Brasília,5300108,191,6.33443,2020-03-25,,0.0,3015268.0,True,city,DF,2020-03-27 10:17:05.220119
,53,191,6.33443,2020-03-25,,0.0,3015268.0,True,state,DF,2020-03-27 10:17:05.220119
,43,190,1.67,2020-03-26,0.0053,1.0,11377239.0,True,state,RS,2020-03-27 10:17:05.220119
,23,185,2.02583,2020-03-24,,0.0,9132078.0,False,state,CE,2020-03-27 10:17:05.220119
Fortaleza,2304400,170,6.36861,2020-03-24,,0.0,2669342.0,False,city,CE,2020-03-27 10:17:05.220119
Rio de Janeiro,3304557,168,2.50041,2020-03-22,,0.0,6718903.0,False,city,RJ,2020-03-27 10:17:05.220119
,23,164,1.79587,2020-03-23,,0.0,9132078.0,False,state,CE,2020-03-27 10:17:05.220119
,43,162,1.4239,2020-03-25,0.0062,1.0,11377239.0,False,state,RS,2020-03-27 10:17:05.220119
Brasília,5300108,161,5.33949,2020-03-24,,0.0,3015268.0,False,city,DF,2020-03-27 10:17:05.220119
,53,161,5.33949,2020-03-24,,0.0,3015268.0,False,state,DF,2020-03-27 10:17:05.220119
,31,153,0.72276,2020-03-26,,0.0,21168791.0,True,state,MG,2020-03-27 10:17:05.220119
Fortaleza,2304400,151,5.65682,2020-03-23,,0.0,2669342.0,False,city,CE,2020-03-27 10:17:05.220119
,42,149,2.07961,2020-03-26,0.0067,1.0,7164788.0,True,state,SC,2020-03-27 10:17:05.220119
Brasília,5300108,138,4.57671,2020-03-23,,0.0,3015268.0,False,city,DF,2020-03-27 10:17:05.220119
,53,138,4.57671,2020-03-23,,0.0,3015268.0,False,state,DF,2020-03-27 10:17:05.220119
,31,133,0.62828,2020-03-25,,0.0,21168791.0,False,state,MG,2020-03-27 10:17:05.220119
,31,130,0.61411,2020-03-24,,0.0,21168791.0,False,state,MG,2020-03-27 10:17:05.220119
