datahora;nome_drs;uti_var
2020-07-09;Município de São Paulo;66.6
2020-07-09;Grande SP Leste;59.3
2020-07-09;Grande SP Norte;50.9
2020-07-09;Grande SP Oeste;58.7
2020-07-09;Grande SP Sudeste;59.0
2020-07-09;Grande SP Sudoeste;60.3
2020-07-09;Araçatuba;60.4
2020-07-09;Araraquara;31.2
2020-07-09;Baixada Santista;49.4
2020-07-09;Barretos;78.0
2020-07-09;Bauru;65.6
2020-07-09;Campinas;80.4
2020-07-09;Franca;84.7
2020-07-09;Marília;10.9
2020-07-09;Piracicaba;78.4
2020-07-09;Presidente Prudente;69.1
2020-07-09;Registro;35.4
2020-07-09;Ribeirão Preto;88.3
2020-07-09;São João da Boa Vista;54.4
2020-07-09;São José do Rio Preto;65.1
2020-07-09;Sorocaba;74.1
2020-07-09;Taubaté;59.8
2020-07-09;Estado de São Paulo;65.0
2020-07-16;Estado de São Paulo;65.0
2020-07-16;Município de São Paulo;67.7
2020-07-16;Grande SP Leste;65.2
2020-07-16;Grande SP Norte;55.8
2020-07-16;Grande SP Oeste;60.7
2020-07-16;Grande SP Sudeste;61.3
2020-07-16;Grande SP Sudoeste;59.3
2020-07-16;Araçatuba;63.9
2020-07-16;Araraquara;35.4
2020-07-16;Baixada Santista;48.0
2020-07-16;Barretos;66.8
2020-07-16;Bauru;64.5
2020-07-16;Campinas;79.6
2020-07-16;Franca;86.9
2020-07-16;Marília;45.1
2020-07-16;Piracicaba;84.6
2020-07-16;Presidente Prudente;68.4
2020-07-16;Registro;38.4
2020-07-16;Ribeirão Preto;94.2
2020-07-16;São João da Boa Vista;51.4
2020-07-16;São José do Rio Preto;74.1
2020-07-16;Sorocaba;75.0
2020-07-16;Taubaté;69.2
2020-07-17;Estado de São Paulo;67.0
2020-07-17;Município de São Paulo;67.2
2020-07-17;Grande SP Leste;65.2
2020-07-17;Grande SP Norte;55.8
2020-07-17;Grande SP Oeste;60.6
2020-07-17;Grande SP Sudeste;61.2
2020-07-17;Grande SP Sudoeste;58.3
2020-07-17;Araçatuba;63.4
2020-07-17;Araraquara;35.4
2020-07-17;Baixada Santista;48.0
2020-07-17;Barretos;63.9
2020-07-17;Bauru;64.5
2020-07-17;Campinas;79.6
2020-07-17;Franca;86.9
2020-07-17;Marília;45.1
2020-07-17;Piracicaba;84.6
2020-07-17;Presidente Prudente;69.9
2020-07-17;Registro;38.4
2020-07-17;Ribeirão Preto;94.2
2020-07-17;São João da Boa Vista;51.4
2020-07-17;São José do Rio Preto;74.1
2020-07-17;Sorocaba;75.2
2020-07-17;Taubaté;69.2
2020-07-23;Estado de São Paulo;67.0
2020-07-23;Município de São Paulo;66.1
2020-07-23;Grande SP Leste;64.0
2020-07-23;Grande SP Norte;59.8
2020-07-23;Grande SP Oeste;58.2
2020-07-23;Grande SP Sudeste;57.0
2020-07-23;Grande SP Sudoeste;51.8
2020-07-23;Araçatuba;67.3
2020-07-23;Araraquara;44.8
2020-07-23;Baixada Santista;44.7
2020-07-23;Barretos;56.3
2020-07-23;Bauru;66.1
2020-07-23;Campinas;78.3
2020-07-23;Franca;82.5
2020-07-23;Marília;54.1
2020-07-23;Piracicaba;84.8
2020-07-23;Presidente Prudente;69.7
2020-07-23;Registro;49.3
2020-07-23;Ribeirão Preto;91.4
2020-07-23;São João da Boa Vista;53.7
2020-07-23;São José do Rio Preto;79.0
2020-07-23;Sorocaba;71.6
2020-07-23;Taubaté;68.7
