,data,confirmado,em_analise,obito,recuperados,taxa_enfermaria,taxa_uti,internado,altas,obito_suspeiro,obito_descartado,analise,descartado
0,02/03/2020,0,2,0,0,0,0,0,0,0,0,2,0
1,06/03/2020,0,0,0,0,0,0,0,0,0,0,2,2
2,09/03/2020,0,2,0,0,0,0,0,0,0,0,4,2
3,10/03/2020,0,4,0,0,0,0,0,0,0,0,6,2
4,11/03/2020,0,10,0,0,0,0,0,0,0,0,12,2
5,12/03/2020,0,11,0,0,0,0,0,0,0,0,14,3
6,13/03/2020,0,14,0,0,0,0,0,0,0,0,17,3
7,14/03/2020,0,19,0,0,0,0,0,0,0,0,23,4
8,15/03/2020,0,23,0,0,0,0,0,0,0,0,27,4
9,16/03/2020,0,31,0,0,0,0,0,0,0,0,39,8
10,17/03/2020,0,46,0,0,0,0,0,0,0,0,54,8
11,18/03/2020,1,62,0,0,0,0,0,0,0,0,72,9
12,19/03/2020,1,97,0,0,0,0,0,0,0,0,108,10
13,21/03/2020,1,115,0,0,0,0,5,0,0,0,126,10
14,23/03/2020,1,136,0,0,0,0,8,0,0,0,151,14
15,24/03/2020,1,138,0,0,0,0,8,0,0,0,153,14
16,25/03/2020,2,153,0,0,0,0,6,0,0,0,173,18
17,26/03/2020,2,162,1,0,0,0,7,0,0,0,182,18
18,27/03/2020,2,161,1,0,0,0,12,0,0,0,190,27
19,29/03/2020,2,158,1,0,0,0,12,0,0,0,191,32
20,30/03/2020,2,163,1,0,0,0,19,0,0,0,198,33
21,31/03/2020,2,171,1,0,0,0,21,0,0,0,208,35
22,01/04/2020,2,168,1,0,0,0,21,0,0,0,211,41
23,02/04/2020,2,169,1,0,0,0,21,0,0,0,214,43
24,03/04/2020,2,160,1,0,0,0,22,0,0,0,217,55
25,04/04/2020,4,153,1,0,0,0,18,0,0,0,223,66
26,05/04/2020,4,144,1,0,0,0,16,0,0,0,226,78
27,06/04/2020,7,144,1,0,0,0,17,0,0,0,232,81
28,07/04/2020,8,136,1,0,0,0,19,0,0,0,236,92
29,08/04/2020,8,104,1,0,0,0,20,0,0,0,242,130
30,09/04/2020,10,96,1,0,0,0,21,0,0,0,252,146
31,10/04/2020,13,97,1,0,0,0,20,0,0,0,256,146
32,11/04/2020,13,101,1,0,0,0,20,0,0,0,260,146
33,12/04/2020,13,87,1,0,0,0,17,0,0,0,260,160
34,13/04/2020,13,87,1,0,0,0,21,0,0,0,263,163
35,14/04/2020,15,116,1,0,0,0,22,0,0,0,294,163
36,15/04/2020,15,120,1,0,0,0,24,0,0,0,300,165
37,16/04/2020,15,123,1,0,0,0,29,0,0,0,308,170
38,17/04/2020,18,125,1,0,0,0,25,0,0,0,322,179
39,18/04/2020,18,126,1,0,0,0,22,0,0,0,328,184
40,19/04/2020,19,129,2,0,0,0,20,0,0,0,332,184
41,20/04/2020,22,128,2,0,0,0,20,0,0,0,347,197
42,21/04/2020,25,121,2,0,40,30,19,69,10,10,363,217
43,22/04/2020,26,121,2,0,43.3,30,23,70,10,10,363,223
44,23/04/2020,28,97,4,0,43.3,10,23,73,9,10,374,249
45,24/04/2020,29,47,4,0,43.3,20,24,74,2,18,380,304
46,25/04/2020,29,40,4,0,46.6,20,25,76,2,18,383,314
47,26/04/2020,30,41,4,0,46.6,20,25,77,3,15,387,316
48,27/04/2020,31,41,4,0,40,20,21,80,4,19,391,319
49,28/04/2020,31,37,4,0,26.6,10,17,85,3,20,394,326
50,29/04/2020,35,38,4,0,20,40,16,88,2,22,403,330
51,30/04/2020,36,43,4,0,33.3,50,20,89,1,24,409,330
52,01/05/2020,36,36,4,0,10,40,20,89,4,24,410,338
53,02/05/2020,39,28,4,0,11.66,45,21,91,1,24,415,348
54,03/05/2020,39,30,4,0,11.66,40,23,91,0,25,417,348
55,04/05/2020,41,31,4,0,15,30,23,92,0,25,426,354
56,05/05/2020,41,40,4,0,16,35,27,92,0,25,442,361
57,06/05/2020,42,42,4,0,21,35,28,93,1,26,446,362
58,07/05/2020,45,50,4,0,31,30,37,95,1,26,459,364
59,08/05/2020,46,54,4,0,40,35,43,95,1,27,470,370
60,09/05/2020,48,51,4,0,38,35,43,97,0,28,474,375
61,10/05/2020,49,50,4,0,36,30,42,98,0,28,474,375
62,11/05/2020,51,52,4,0,41,35,43,100,0,28,483,380
63,12/05/2020,53,33,4,0,33,35,39,107,0,28,487,401
64,13/05/2020,58,40,4,0,40,15,37,112,0,29,500,402
65,14/05/2020,61,38,4,0,35,15,38,118,0,29,516,417
66,15/05/2020,65,39,4,0,33,20,34,125,0,29,530,426
67,16/05/2020,66,27,4,0,30,25,31,129,1,29,532,439
68,17/05/2020,66,30,4,0,30,30,35,129,1,29,538,442
69,18/05/2020,69,24,4,0,28,30,36,131,0,30,548,455
70,19/05/2020,75,21,4,0,35,20,39,135,0,30,563,457
71,20/05/2020,78,35,4,0,18,30,33,141,0,31,574,461
72,21/05/2020,81,32,4,0,18,35,32,144,1,31,586,473
73,22/05/2020,87,29,4,0,18,30,30,149,2,31,595,479
74,23/05/2020,93,38,4,0,20,35,33,150,2,32,611,480
75,24/05/2020,93,38,4,0,23,35,35,151,2,32,614,483
76,25/05/2020,94,30,4,0,20,50,35,152,2,32,615,491
77,26/05/2020,108,10,4,0,21,55,37,155,0,34,627,509
78,27/05/2020,118,12,4,0,20,50,32,162,0,34,642,512
