,region_id,city,place_type,date,confirmed
0,SP,,state,2020-03-26,1052
1,SAO PAULO SP,São Paulo,city,2020-03-26,899
8,RIO DE JANEIRO RJ,Rio de Janeiro,city,2020-03-26,368
14,FORTALEZA CE,Fortaleza,city,2020-03-26,224
18,BRASILIA DF,Brasília,city,2020-03-25,191
45,PORTO ALEGRE RS,Porto Alegre,city,2020-03-26,103
48,BELO HORIZONTE MG,Belo Horizonte,city,2020-03-26,96
58,CURITIBA PR,Curitiba,city,2020-03-26,66
60,MANAUS AM,Manaus,city,2020-03-26,63
62,SALVADOR BA,Salvador,city,2020-03-26,60
77,IMPORTADOS/INDEFINIDOS SP,Importados/Indefinidos,city,2020-03-25,43
92,RECIFE PE,Recife,city,2020-03-26,33
94,NITEROI RJ,Niterói,city,2020-03-26,31
114,CAMPO GRANDE MS,Campo Grande,city,2020-03-26,23
110,RIO BRANCO AC,Rio Branco,city,2020-03-25,23
119,GOIANIA GO,Goiânia,city,2020-03-26,21
123,FLORIANOPOLIS SC,Florianópolis,city,2020-03-24,20
125,VILA VELHA ES,Vila Velha,city,2020-03-26,20
130,VITORIA ES,Vitória,city,2020-03-26,17
133,SANTO ANDRE SP,Santo André,city,2020-03-25,17
135,SAO CAETANO DO SUL SP,São Caetano do Sul,city,2020-03-26,17
138,ITAJAI SC,Itajaí,city,2020-03-26,16
152,NATAL RN,Natal,city,2020-03-26,13
153,ARACAJU SE,Aracaju,city,2020-03-25,13
155,SAO BERNARDO DO CAMPO SP,São Bernardo do Campo,city,2020-03-25,13
162,BLUMENAU SC,Blumenau,city,2020-03-26,12
161,CRICIUMA SC,Criciúma,city,2020-03-26,12
171,NOVA LIMA MG,Nova Lima,city,2020-03-26,11
180,MACEIO AL,Maceió,city,2020-03-26,10
183,PORTO SEGURO BA,Porto Seguro,city,2020-03-26,10
177,SAO LUIS MA,São Luís,city,2020-03-26,10
186,TERESINA PI,Teresina,city,2020-03-25,9
187,BALNEARIO CAMBORIU SC,Balneário Camboriú,city,2020-03-24,9
188,BRACO DO NORTE SC,Braço do Norte,city,2020-03-26,9
193,GUARULHOS SP,Guarulhos,city,2020-03-26,9
195,TUBARAO SC,Tubarão,city,2020-03-24,9
196,FEIRA DE SANTANA BA,Feira de Santana,city,2020-03-26,9
199,BAGE RS,Bagé,city,2020-03-26,9
200,BOA VISTA RR,Boa Vista,city,2020-03-26,9
211,JUIZ DE FORA MG,Juiz de Fora,city,2020-03-25,8
215,CUIABA MT,Cuiabá,city,2020-03-26,8
207,SAO JOSE SC,São José,city,2020-03-26,8
209,PALMAS TO,Palmas,city,2020-03-26,8
234,UBERLANDIA MG,Uberlândia,city,2020-03-24,7
242,CANOAS RS,Canoas,city,2020-03-26,7
243,JOINVILLE SC,Joinville,city,2020-03-26,7
245,VOLTA REDONDA RJ,Volta Redonda,city,2020-03-26,7
250,MOGI DAS CRUZES SP,Mogi das Cruzes,city,2020-03-26,7
276,TORRES RS,Torres,city,2020-03-25,6
284,CAXIAS DO SUL RS,Caxias do Sul,city,2020-03-26,6
280,BELEM PA,Belém,city,2020-03-26,6
285,SANTANA DE PARNAIBA SP,Santana de Parnaíba,city,2020-03-26,6
272,RIO VERDE GO,Rio Verde,city,2020-03-26,6
267,CIANORTE PR,Cianorte,city,2020-03-24,6
266,AQUIRAZ CE,Aquiraz,city,2020-03-23,6
268,COTIA SP,Cotia,city,2020-03-25,6
297,LAJEADO RS,Lajeado,city,2020-03-25,5
298,LAURO DE FREITAS BA,Lauro de Freitas,city,2020-03-26,5
308,PORTO VELHO RO,Porto Velho,city,2020-03-26,5
313,IMBITUBA SC,Imbituba,city,2020-03-26,5
316,JOAO PESSOA PB,João Pessoa,city,2020-03-26,5
321,FOZ DO IGUACU PR,Foz do Iguaçu,city,2020-03-25,5
345,CAMPINAS SP,Campinas,city,2020-03-25,4
355,ANANINDEUA PA,Ananindeua,city,2020-03-26,4
351,SOBRAL CE,Sobral,city,2020-03-25,4
337,CHAPECO SC,Chapecó,city,2020-03-26,4
336,CAMBORIU SC,Camboriú,city,2020-03-26,4
327,PARNAMIRIM RN,Parnamirim,city,2020-03-24,4
326,SANTANA DO LIVRAMENTO RS,SantAna do Livramento,city,2020-03-25,4
381,LINHARES ES,Linhares,city,2020-03-24,3
426,BARUERI SP,Barueri,city,2020-03-26,3
415,PORTO BELO SC,Porto Belo,city,2020-03-26,3
408,SERRA ES,Serra,city,2020-03-26,3
398,OSASCO SP,Osasco,city,2020-03-25,3
392,GRAVATAL SC,Gravatal,city,2020-03-25,3
387,ERECHIM RS,Erechim,city,2020-03-25,3
386,UBERABA MG,Uberaba,city,2020-03-24,3
383,OLINDA PE,Olinda,city,2020-03-26,3
385,BETIM MG,Betim,city,2020-03-26,3
380,ANAPOLIS GO,Anápolis,city,2020-03-24,3
378,SERAFINA CORREA RS,Serafina Corrêa,city,2020-03-25,3
372,JABOATAO DOS GUARARAPES PE,Jaboatão dos Guararapes,city,2020-03-26,3
371,PETROPOLIS RJ,Petrópolis,city,2020-03-22,3
370,PONTA GROSSA PR,Ponta Grossa,city,2020-03-26,3
369,PINHAIS PR,Pinhais,city,2020-03-26,3
368,LONDRINA PR,Londrina,city,2020-03-26,3
367,MARINGA PR,Maringá,city,2020-03-26,3
366,SAO GONCALO RJ,São Gonçalo,city,2020-03-25,3
379,NAVEGANTES SC,Navegantes,city,2020-03-25,3
515,SAPIRANGA RS,Sapiranga,city,2020-03-25,2
542,SUZANO SP,Suzano,city,2020-03-26,2
540,PELOTAS RS,Pelotas,city,2020-03-26,2
519,ANTA GORDA RS,Anta Gorda,city,2020-03-25,2
511,CARAPICUIBA SP,Carapicuíba,city,2020-03-25,2
514,LOUVEIRA SP,Louveira,city,2020-03-26,2
513,JUNDIAI SP,Jundiaí,city,2020-03-26,2
512,MAUA SP,Mauá,city,2020-03-25,2
546,TABOAO DA SERRA SP,Taboão da Serra,city,2020-03-26,2
545,RIO GRANDE RS,Rio Grande,city,2020-03-26,2
561,COLOMBO PR,Colombo,city,2020-03-25,2
499,VALPARAISO DE GOIAS GO,Valparaíso de Goiás,city,2020-03-24,2
