Confirmed,Deaths,Province/State,Country/Region,Recovered,Last Update
8305,42,New York,US,0.0,3/20/2020 18:27
1378,74,WA,US,1.0,3/20/2020 18:27
1157,20,California,US,6.0,3/20/2020 18:27
890,11,New Jersey,US,1.0,3/20/2020 18:27
585,5,Illinois,US,2.0,3/20/2020 18:27
552,3,Michigan,US,0.0,3/20/2020 18:27
520,10,Florida,US,0.0,3/20/2020 18:27
479,11,Louisiana,US,0.0,3/20/2020 18:27
420,13,Georgia,US,0.0,3/20/2020 18:27
413,1,Massachusetts,US,1.0,3/20/2020 18:27
366,6,Texas,US,0.0,3/20/2020 18:27
303,1,Pennsylvania,US,0.0,3/20/2020 18:27
277,4,Colorado,US,0.0,3/20/2020 18:27
233,0,Tennessee,US,0.0,3/20/2020 18:27
207,3,Wisconsin,US,1.0,3/20/2020 18:27
194,3,Connecticut,US,0.0,3/20/2020 18:27
173,2,Ohio,US,0.0,3/20/2020 18:27
172,0,North Carolina,US,0.0,3/20/2020 18:27
149,1,Maryland,US,3.0,3/20/2020 18:27
125,1,South Carolina,US,0.0,3/20/2020 18:27
121,2,Virginia,US,0.0,3/20/2020 18:27
115,0,Minnesota,US,0.0,3/20/2020 18:27
114,3,Oregon,US,0.0,3/20/2020 18:27
114,1,Nevada,US,0.0,3/20/2020 18:27
112,0,Utah,US,0.0,3/20/2020 18:27
96,0,Arkansas,US,0.0,3/20/2020 18:27
86,2,Indiana,US,0.0,3/20/2020 18:27
85,0,Alabama,US,0.0,3/20/2020 18:27
80,1,Mississippi,US,0.0,3/20/2020 18:27
78,0,Arizona,US,1.0,3/20/2020 18:27
71,1,Washington DC,US,0.0,3/20/2020 18:27
56,0,Maine,US,0.0,3/20/2020 18:27
54,0,Rhode Island,US,0.0,3/20/2020 18:27
53,2,Missouri,US,0.0,3/20/2020 18:27
49,0,From Diamond Princess cruise,US,0.0,3/20/2020 18:27
49,1,Oklahoma,US,0.0,3/20/2020 18:27
47,2,Kentucky,US,1.0,3/20/2020 18:27
45,0,Iowa,US,0.0,3/20/2020 18:27
44,0,New Hampshire,US,0.0,3/20/2020 18:27
44,1,Kansas,US,0.0,3/20/2020 18:27
43,0,New Mexico,US,0.0,3/20/2020 18:27
38,0,Delaware,US,0.0,3/20/2020 18:27
37,0,Nebraska,US,0.0,3/20/2020 18:27
29,2,Vermont,US,0.0,3/20/2020 18:27
26,0,Hawaii,US,0.0,3/20/2020 18:27
23,1,From Grand Princess,US,0.0,3/20/2020 18:27
23,0,Idaho,US,0.0,3/20/2020 18:27
19,0,Wyoming,US,0.0,3/20/2020 18:27
