Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,6/01/2020 22:48,2097295,125919,759688
,0,6/01/2020 22:48,905630,41051,362046
,0,6/01/2020 22:48,2034268,174654,993956
,0,6/01/2020 22:48,1163838,31271,712945
,0,6/01/2020 22:48,154907,4369,65931
,0,6/01/2020 22:48,8814,125,8201
,0,6/01/2020 22:48,721,15,651
,World,6/01/2020 22:48,6365473,377404,2903418
,US,6/01/2020 22:48,1859323,106925,615416
,Brazil,6/01/2020 22:48,529405,30046,211080
,Russia,6/01/2020 22:48,414878,4855,175877
,Spain,6/01/2020 22:48,286718,27127,196958
,UK,6/01/2020 22:48,276332,39045,0
,Italy,6/01/2020 22:48,233197,33475,158355
,India,6/01/2020 22:48,198370,5608,95754
,France,6/01/2020 22:48,189220,28833,68440
,Germany,6/01/2020 22:48,183765,8618,165900
,Peru,6/01/2020 22:48,170039,4634,68507
,Turkey,6/01/2020 22:48,164769,4563,128947
,Iran,6/01/2020 22:48,154445,7878,121004
,Chile,6/01/2020 22:48,105159,1113,44946
,Mexico,6/01/2020 22:48,93435,10167,67491
,Canada,6/01/2020 22:48,91705,7326,49726
,Saudi Arabia,6/01/2020 22:48,87142,525,64306
,Pakistan,6/01/2020 22:48,72460,1543,26083
Brussels,Belgium,6/01/2020 22:48,58517,9486,15919
,Qatar,6/01/2020 22:48,58433,40,33437
,Bangladesh,6/01/2020 22:48,49534,672,10597
,Netherlands,6/01/2020 22:48,46545,5962,0
,Belarus,6/01/2020 22:48,43403,240,18776
,Ecuador,6/01/2020 22:48,39098,3358,19592
,Sweden,6/01/2020 22:48,37814,4403,4971
,Singapore,6/01/2020 22:48,35292,24,22466
,United Arab Emirates,6/01/2020 22:48,35192,266,18338
,South Africa,6/01/2020 22:48,34357,705,17291
,Portugal,6/01/2020 22:48,32700,1424,19552
,Switzerland,6/01/2020 22:48,30871,1920,28500
,Colombia,6/01/2020 22:48,30493,969,9661
,Kuwait,6/01/2020 22:48,27762,220,12899
,Indonesia,6/01/2020 22:48,26940,1641,7637
,Egypt,6/01/2020 22:48,26384,1005,6447
,Ireland,6/01/2020 22:48,25062,1650,22089
,Poland,6/01/2020 22:48,24165,1074,11449
,Ukraine,6/01/2020 22:48,24012,718,9690
,Romania,6/01/2020 22:48,19398,1276,13426
,Philippines,6/01/2020 22:48,18638,960,3979
,Dominican Republic,6/01/2020 22:48,17572,502,10893
,Argentina,6/01/2020 22:48,17415,556,5521
,Israel,6/01/2020 22:48,17169,285,14878
,Japan,6/01/2020 22:48,16884,892,14502
,Austria,6/01/2020 22:48,16733,668,15596
,Afghanistan,6/01/2020 22:48,15750,265,1428
