Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered
,0,4/10/2020 22:22,536283,19800,34452
,0,4/10/2020 22:22,820109,70094,196782
,0,4/10/2020 22:22,274612,10227,134030
,0,4/10/2020 22:22,44976,1809,4619
,0,4/10/2020 22:22,7608,56,3515
,0,4/10/2020 22:22,13539,697,2237
,0,4/10/2020 22:22,721,13,619
,World,4/10/2020 22:22,1697848,102696,376254
,US,4/10/2020 22:22,502318,18725,27314
,Spain,4/10/2020 22:22,158273,16081,55668
,Italy,4/10/2020 22:22,147577,18849,30455
,France,4/10/2020 22:22,124869,13197,24932
,Germany,4/10/2020 22:22,122171,2767,53913
,UK,4/10/2020 22:22,73758,8958,344
,Iran,4/10/2020 22:22,68192,4232,35465
,Turkey,4/10/2020 22:22,47029,1006,2423
Brussels,Belgium,4/10/2020 22:22,26667,3019,5568
,Switzerland,4/10/2020 22:22,24551,1002,11100
,Netherlands,4/10/2020 22:22,23097,2511,250
,Canada,4/10/2020 22:22,22148,569,6013
,Brazil,4/10/2020 22:22,19789,1068,173
,Portugal,4/10/2020 22:22,15472,435,233
,Austria,4/10/2020 22:22,13560,319,6064
,Russia,4/10/2020 22:22,11917,94,795
,South Korea,4/10/2020 22:22,10450,208,7117
,Israel,4/10/2020 22:22,10408,95,1183
,Sweden,4/10/2020 22:22,9685,870,381
,Ireland,4/10/2020 22:22,8089,287,25
,India,4/10/2020 22:22,7600,249,774
,Ecuador,4/10/2020 22:22,7161,297,368
,Chile,4/10/2020 22:22,6501,65,1571
,Norway,4/10/2020 22:22,6314,113,32
,Australia,4/10/2020 22:22,6238,54,3141
,Poland,4/10/2020 22:22,5955,181,318
,Peru,4/10/2020 22:22,5897,169,1569
,Denmark,4/10/2020 22:22,5819,247,1773
,Czechia,4/10/2020 22:22,5732,119,346
,Japan,4/10/2020 22:22,5530,99,685
,Romania,4/10/2020 22:22,5467,270,729
,Pakistan,4/10/2020 22:22,4695,66,727
,Malaysia,4/10/2020 22:22,4346,70,1830
,Philippines,4/10/2020 22:22,4195,221,140
,Saudi Arabia,4/10/2020 22:22,3651,47,685
,Indonesia,4/10/2020 22:22,3512,306,282
,Mexico,4/10/2020 22:22,3441,194,633
,United Arab Emirates,4/10/2020 22:22,3360,16,418
,Luxembourg,4/10/2020 22:22,3223,54,500
,Serbia,4/10/2020 22:22,3105,71,118
,Panama,4/10/2020 22:22,2974,74,17
,Finland,4/10/2020 22:22,2769,48,300
,Dominican Republic,4/10/2020 22:22,2620,126,98
,Qatar,4/10/2020 22:22,2512,6,227
,Colombia,4/10/2020 22:22,2473,80,197
,Thailand,4/10/2020 22:22,2473,33,1013
,Ukraine,4/10/2020 22:22,2203,69,61
,Singapore,4/10/2020 22:22,2108,7,492
,Greece,4/10/2020 22:22,2011,92,269
,South Africa,4/10/2020 22:22,2003,24,410
,Belarus,4/10/2020 22:22,1981,19,169
,Argentina,4/10/2020 22:22,1975,82,375
,Egypt,4/10/2020 22:22,1794,135,384
,Algeria,4/10/2020 22:22,1761,256,405
,Iceland,4/10/2020 22:22,1675,7,751
,Croatia,4/10/2020 22:22,1495,21,231
,Morocco,4/10/2020 22:22,1448,107,122
,Moldova,4/10/2020 22:22,1438,29,56
,New Zealand,4/10/2020 22:22,1283,2,373
,Iraq,4/10/2020 22:22,1279,70,550
,Estonia,4/10/2020 22:22,1258,24,93
,Hungary,4/10/2020 22:22,1190,77,112
,Slovenia,4/10/2020 22:22,1160,45,137
,Lithuania,4/10/2020 22:22,999,22,54
,Kuwait,4/10/2020 22:22,993,1,123
,Azerbaijan,4/10/2020 22:22,991,10,159
Hong Kong,Hong Kong,4/10/2020 22:22,990,4,309
,Armenia,4/10/2020 22:22,937,12,149
,Bahrain,4/10/2020 22:22,925,6,539
,Bosnia and Herzegovina,4/10/2020 22:22,901,36,129
,Cameroon,4/10/2020 22:22,820,12,98
,Kazakhstan,4/10/2020 22:22,812,10,64
,Slovakia,4/10/2020 22:22,715,2,23
Yokohama,Japan,4/10/2020 22:22,712,11,619
,North Macedonia,4/10/2020 22:22,711,32,41
,Tunisia,4/10/2020 22:22,671,25,25
,Bulgaria,4/10/2020 22:22,635,25,54
,Uzbekistan,4/10/2020 22:22,624,3,42
,Latvia,4/10/2020 22:22,612,3,16
,Lebanon,4/10/2020 22:22,609,20,76
,Andorra,4/10/2020 22:22,601,26,71
,Cyprus,4/10/2020 22:22,595,10,58
,Cuba,4/10/2020 22:22,564,15,51
,Costa Rica,4/10/2020 22:22,558,3,42
,Afghanistan,4/10/2020 22:22,521,15,32
,Oman,4/10/2020 22:22,484,3,109
,Ivory Coast,4/10/2020 22:22,480,3,54
,Uruguay,4/10/2020 22:22,473,7,206
,Burkina Faso,4/10/2020 22:22,448,26,149
,Niger,4/10/2020 22:22,438,11,41
,Bangladesh,4/10/2020 22:22,424,27,33
,Albania,4/10/2020 22:22,416,23,182
,Channel Islands,4/10/2020 22:22,398,9,40
,Honduras,4/10/2020 22:22,382,23,7
Taiwan,Taiwan,4/10/2020 22:22,382,6,91
,Reunion,4/10/2020 22:22,382,0,40
,Ghana,4/10/2020 22:22,378,6,4
,Jordan,4/10/2020 22:22,372,7,170
,Malta,4/10/2020 22:22,350,2,16
,San Marino,4/10/2020 22:22,344,34,50
,Mauritius,4/10/2020 22:22,318,9,23
,Nigeria,4/10/2020 22:22,305,7,58
,Kyrgyzstan,4/10/2020 22:22,298,5,35
,Bolivia,4/10/2020 22:22,268,19,2
,Palestine,4/10/2020 22:22,267,2,45
,Senegal,4/10/2020 22:22,265,2,137
,Montenegro,4/10/2020 22:22,257,2,4
,Vietnam,4/10/2020 22:22,257,0,144
,Georgia,4/10/2020 22:22,234,3,54
,DRC,4/10/2020 22:22,223,20,16
,Guinea,4/10/2020 22:22,212,0,15
,Isle of Man,4/10/2020 22:22,201,1,103
,Mayotte,4/10/2020 22:22,191,2,50
,Sri Lanka,4/10/2020 22:22,190,7,54
,Kenya,4/10/2020 22:22,189,7,22
,Faeroe Islands,4/10/2020 22:22,184,0,145
,Venezuela,4/10/2020 22:22,175,9,84
,Martinique,4/10/2020 22:22,155,6,50
,Djibouti,4/10/2020 22:22,150,1,36
,Guadeloupe,4/10/2020 22:22,143,8,67
,Brunei,4/10/2020 22:22,136,1,99
,Paraguay,4/10/2020 22:22,129,6,18
,Gibraltar,4/10/2020 22:22,127,0,69
,Guatemala,4/10/2020 22:22,126,3,17
,Cambodia,4/10/2020 22:22,119,0,72
,Rwanda,4/10/2020 22:22,118,0,7
,El Salvador,4/10/2020 22:22,117,6,15
,Trinidad and Tobago,4/10/2020 22:22,109,8,1
,Madagascar,4/10/2020 22:22,93,0,11
,Monaco,4/10/2020 22:22,90,1,5
,Mali,4/10/2020 22:22,87,7,22
,Aruba,4/10/2020 22:22,86,0,27
,French Guiana,4/10/2020 22:22,83,0,43
,Liechtenstein,4/10/2020 22:22,79,1,55
,Togo,4/10/2020 22:22,76,3,25
,Barbados,4/10/2020 22:22,67,4,11
,Ethiopia,4/10/2020 22:22,65,3,4
,Jamaica,4/10/2020 22:22,63,4,13
,Congo,4/10/2020 22:22,60,5,5
,Uganda,4/10/2020 22:22,53,0,0
,French Polynesia,4/10/2020 22:22,51,0,0
,Sint Maarten,4/10/2020 22:22,50,8,3
,Bermuda,4/10/2020 22:22,48,4,25
,Cayman Islands,4/10/2020 22:22,45,1,6
Macau,Macau,4/10/2020 22:22,45,0,10
,Gabon,4/10/2020 22:22,44,1,1
,Bahamas,4/10/2020 22:22,42,8,5
,Zambia,4/10/2020 22:22,40,2,25
,Guyana,4/10/2020 22:22,37,6,8
,Liberia,4/10/2020 22:22,37,5,3
,Guinea-Bissau,4/10/2020 22:22,36,0,0
,Benin,4/10/2020 22:22,35,1,5
,Eritrea,4/10/2020 22:22,34,0,0
,Tanzania,4/10/2020 22:22,32,3,5
,Saint Martin,4/10/2020 22:22,32,2,11
,Haiti,4/10/2020 22:22,31,2,0
,Myanmar,4/10/2020 22:22,27,3,2
,Libya,4/10/2020 22:22,24,1,8
,Antigua and Barbuda,4/10/2020 22:22,21,2,0
,Somalia,4/10/2020 22:22,21,1,1
,Mozambique,4/10/2020 22:22,20,0,2
,Angola,4/10/2020 22:22,19,2,2
,Syria,4/10/2020 22:22,19,2,4
,Maldives,4/10/2020 22:22,19,0,13
,Equatorial Guinea,4/10/2020 22:22,18,0,3
,New Caledonia,4/10/2020 22:22,18,0,1
,Sudan,4/10/2020 22:22,17,2,2
,Dominica,4/10/2020 22:22,16,0,5
,Fiji,4/10/2020 22:22,16,0,0
,Laos,4/10/2020 22:22,16,0,0
,Mongolia,4/10/2020 22:22,16,0,4
,Namibia,4/10/2020 22:22,16,0,3
,Saint Lucia,4/10/2020 22:22,15,0,1
,Curacao,4/10/2020 22:22,14,1,7
,Grenada,4/10/2020 22:22,14,0,0
,Zimbabwe,4/10/2020 22:22,13,3,0
,Botswana,4/10/2020 22:22,13,1,0
,Saint Kitts and Nevis,4/10/2020 22:22,12,0,0
,St. Vincent Grenadines,4/10/2020 22:22,12,0,1
,Eswatini,4/10/2020 22:22,12,0,7
,Chad,4/10/2020 22:22,11,0,2
,Greenland,4/10/2020 22:22,11,0,11
,Seychelles,4/10/2020 22:22,11,0,0
,Belize,4/10/2020 22:22,10,2,0
,Suriname,4/10/2020 22:22,10,1,4
,MS Zaandam,4/10/2020 22:22,9,2,0
,Malawi,4/10/2020 22:22,9,1,0
,Nepal,4/10/2020 22:22,9,0,1
,Montserrat,4/10/2020 22:22,9,0,0
,Turks and Caicos,4/10/2020 22:22,8,1,0
,CAR,4/10/2020 22:22,8,0,0
,Vatican City,4/10/2020 22:22,8,0,2
,Sierra Leone,4/10/2020 22:22,8,0,0
,Cabo Verde,4/10/2020 22:22,7,1,1
,Mauritania,4/10/2020 22:22,7,1,2
,Nicaragua,4/10/2020 22:22,7,1,0
,St. Barth,4/10/2020 22:22,6,0,1
,Bhutan,4/10/2020 22:22,5,0,2
,Falkland Islands,4/10/2020 22:22,5,0,1
,Gambia,4/10/2020 22:22,4,1,2
,Sao Tome and Principe,4/10/2020 22:22,4,0,0
,South Sudan,4/10/2020 22:22,4,0,0
,Western Sahara,4/10/2020 22:22,4,0,0
,Anguilla,4/10/2020 22:22,3,0,0
,British Virgin Islands,4/10/2020 22:22,3,0,0
,Burundi,4/10/2020 22:22,3,0,0
,Caribbean Netherlands,4/10/2020 22:22,2,0,0
,Papua New Guinea,4/10/2020 22:22,2,0,0
,Timor-Leste,4/10/2020 22:22,2,0,1
,Saint Pierre Miquelon,4/10/2020 22:22,1,0,0
,Yemen,4/10/2020 22:22,1,0,0
,China,4/10/2020 22:22,81953,3339,77525
