city,city_ibge_code,date,confirmed,new_cases,deaths,new_deaths
SP,35,2020-02-26,1,1.0,0,0.0
Brasil,0,2020-02-26,1,1.0,0,0.0
SP,35,2020-02-27,1,0.0,0,0.0
Brasil,0,2020-02-27,1,0.0,0,0.0
Brasil,0,2020-02-28,2,1.0,0,0.0
SP,35,2020-02-28,2,1.0,0,0.0
SP,35,2020-02-29,2,0.0,0,0.0
Brasil,0,2020-02-29,2,0.0,0,0.0
SP,35,2020-03-01,2,0.0,0,0.0
Brasil,0,2020-03-01,2,0.0,0,0.0
SP,35,2020-03-02,2,0.0,0,0.0
Brasil,0,2020-03-02,2,0.0,0,0.0
SP,35,2020-03-03,2,0.0,0,0.0
Brasil,0,2020-03-03,2,0.0,0,0.0
Brasil,0,2020-03-04,3,1.0,0,0.0
SP,35,2020-03-04,3,1.0,0,0.0
Brasil,0,2020-03-05,8,5.0,0,0.0
ES,32,2020-03-05,1,1.0,0,0.0
SP,35,2020-03-05,6,3.0,0,0.0
Exceto SP,1,2020-03-05,2,2.0,0,0.0
RJ,33,2020-03-05,1,1.0,0,0.0
Brasil,0,2020-03-06,14,6.0,0,0.0
BA,29,2020-03-06,1,1.0,0,0.0
Exceto SP,1,2020-03-06,4,2.0,0,0.0
SP,35,2020-03-06,10,4.0,0,0.0
ES,32,2020-03-06,1,0.0,0,0.0
RJ,33,2020-03-06,2,1.0,0,0.0
ES,32,2020-03-07,1,0.0,0,0.0
Exceto SP,1,2020-03-07,4,0.0,0,0.0
DF,53,2020-03-07,1,1.0,0,0.0
SP,35,2020-03-07,13,3.0,0,0.0
BA,29,2020-03-07,2,1.0,0,0.0
Brasil,0,2020-03-07,17,3.0,0,0.0
MG,31,2020-03-08,1,1.0,0,0.0
ES,32,2020-03-08,1,0.0,0,0.0
DF,53,2020-03-08,1,0.0,0,0.0
AL,27,2020-03-08,1,1.0,0,0.0
Brasil,0,2020-03-08,23,6.0,0,0.0
SP,35,2020-03-08,16,3.0,0,0.0
RJ,33,2020-03-08,3,1.0,0,0.0
Exceto SP,1,2020-03-08,7,3.0,0,0.0
BA,29,2020-03-09,2,0.0,0,0.0
MG,31,2020-03-09,1,0.0,0,0.0
SP,35,2020-03-09,16,0.0,0,0.0
Brasil,0,2020-03-09,22,-1.0,0,0.0
ES,32,2020-03-09,1,0.0,0,0.0
DF,53,2020-03-09,1,0.0,0,0.0
AL,27,2020-03-09,1,0.0,0,0.0
Exceto SP,1,2020-03-09,6,-1.0,0,0.0
AL,27,2020-03-10,1,0.0,0,0.0
Brasil,0,2020-03-10,26,4.0,0,0.0
Exceto SP,1,2020-03-10,7,1.0,0,0.0
RS,43,2020-03-10,1,1.0,0,0.0
ES,32,2020-03-10,1,0.0,0,0.0
SP,35,2020-03-10,19,3.0,0,0.0
MG,31,2020-03-10,1,0.0,0,0.0
DF,53,2020-03-10,1,0.0,0,0.0
BA,29,2020-03-10,2,0.0,0,0.0
DF,53,2020-03-11,2,1.0,0,0.0
SP,35,2020-03-11,30,11.0,0,0.0
ES,32,2020-03-11,1,0.0,0,0.0
Brasil,0,2020-03-11,39,13.0,0,0.0
MG,31,2020-03-11,1,0.0,0,0.0
BA,29,2020-03-11,3,1.0,0,0.0
Exceto SP,1,2020-03-11,9,2.0,0,0.0
RS,43,2020-03-11,2,1.0,0,0.0
AL,27,2020-03-12,1,0.0,0,0.0
GO,52,2020-03-12,3,3.0,0,0.0
SP,35,2020-03-12,46,16.0,0,0.0
PE,26,2020-03-12,2,2.0,0,0.0
RS,43,2020-03-12,4,2.0,0,0.0
ES,32,2020-03-12,2,1.0,0,0.0
SC,42,2020-03-12,2,2.0,0,0.0
BA,29,2020-03-12,3,0.0,0,0.0
PR,41,2020-03-12,6,6.0,0,0.0
RJ,33,2020-03-12,15,12.0,0,0.0
