region_id,city_name,state,sus_region_name,confirmed_real,confirmed_inputed,deaths_real,deaths_inputed,last_update,quantidade_leitos,ventiladores_existentes,populacao,partition_id
SP APARECIDA,Aparecida,SP,Taubaté,,1.0,,0.0,,104.0,18.0,36157.0,2084.0
SP ARAPEI,Arapeí,SP,Taubaté,,1.0,,0.0,,0.0,1.0,2469.0,3668.0
SP AREIAS,Areias,SP,Taubaté,,1.0,,0.0,,0.0,0.0,3886.0,3595.0
SP BANANAL,Bananal,SP,Taubaté,,1.0,,0.0,,15.0,2.0,10945.0,1795.0
SP CACHOEIRA PAULISTA,Cachoeira Paulista,SP,Taubaté,,1.0,,0.0,,16.0,5.0,33327.0,2834.0
SP CAMPOS DO JORDAO,Campos do Jordão,SP,Taubaté,,1.0,,0.0,,201.0,13.0,52088.0,2187.0
SP CANAS,Canas,SP,Taubaté,,1.0,,0.0,,0.0,0.0,5138.0,6.0
SP CARAGUATATUBA,Caraguatatuba,SP,Taubaté,,1.0,,0.0,,165.0,40.0,121532.0,2568.0
SP CACAPAVA,Caçapava,SP,Taubaté,,1.0,,0.0,,178.0,19.0,94263.0,2056.0
SP CRUZEIRO,Cruzeiro,SP,Taubaté,,1.0,,0.0,,103.0,30.0,82238.0,2940.0
SP CUNHA,Cunha,SP,Taubaté,,1.0,,0.0,,40.0,5.0,21547.0,3402.0
SP GUARATINGUETA,Guaratinguetá,SP,Taubaté,,1.0,,0.0,,265.0,68.0,121798.0,3938.0
SP IGARATA,Igaratá,SP,Taubaté,,1.0,,0.0,,8.0,0.0,9534.0,60.0
SP ILHABELA,Ilhabela,SP,Taubaté,,1.0,,0.0,,51.0,6.0,34970.0,673.0
SP JACAREI,Jacareí,SP,Taubaté,,1.0,,0.0,,404.0,95.0,233662.0,433.0
SP JAMBEIRO,Jambeiro,SP,Taubaté,,1.0,,0.0,,0.0,0.0,6602.0,1013.0
SP LAGOINHA,Lagoinha,SP,Taubaté,,1.0,,0.0,,0.0,0.0,4896.0,517.0
SP LAVRINHAS,Lavrinhas,SP,Taubaté,,1.0,,0.0,,0.0,0.0,7260.0,3174.0
SP LORENA,Lorena,SP,Taubaté,1,1.0,,0.0,,178.0,34.0,88706.0,3387.0
SP MONTEIRO LOBATO,Monteiro Lobato,SP,Taubaté,,1.0,,0.0,,0.0,1.0,4653.0,2046.0
SP NATIVIDADE DA SERRA,Natividade da Serra,SP,Taubaté,,1.0,,0.0,,0.0,0.0,6661.0,1872.0
SP PARAIBUNA,Paraibuna,SP,Taubaté,,1.0,,0.0,,0.0,0.0,18222.0,19.0
SP PINDAMONHANGABA,Pindamonhangaba,SP,Taubaté,,1.0,,0.0,,254.0,41.0,168328.0,2556.0
SP PIQUETE,Piquete,SP,Taubaté,,1.0,,0.0,,0.0,1.0,13657.0,2855.0
SP POTIM,Potim,SP,Taubaté,,1.0,,0.0,,0.0,1.0,24643.0,3354.0
SP QUELUZ,Queluz,SP,Taubaté,,1.0,,0.0,,38.0,2.0,13420.0,2727.0
SP REDENCAO DA SERRA,Redenção da Serra,SP,Taubaté,,1.0,,0.0,,0.0,0.0,3851.0,2731.0
SP ROSEIRA,Roseira,SP,Taubaté,,1.0,,0.0,,54.0,1.0,10712.0,2646.0
SP SANTA BRANCA,Santa Branca,SP,Taubaté,,1.0,,0.0,,0.0,0.0,14788.0,2232.0
SP SANTO ANTONIO DO PINHAL,Santo Antônio do Pinhal,SP,Taubaté,,1.0,,0.0,,0.0,0.0,6811.0,1884.0
SP SILVEIRAS,Silveiras,SP,Taubaté,,1.0,,0.0,,2.0,0.0,6302.0,669.0
SP SAO BENTO DO SAPUCAI,São Bento do Sapucaí,SP,Taubaté,,1.0,,0.0,,40.0,1.0,10878.0,3974.0
SP SAO JOSE DO BARREIRO,São José do Barreiro,SP,Taubaté,,1.0,,0.0,,0.0,1.0,4147.0,74.0
SP SAO JOSE DOS CAMPOS,São José dos Campos,SP,Taubaté,9,9,0.0,0.0,2020-03-27 09:15:32.485977,1640.0,370.0,721944.0,3448.0
SP SAO SEBASTIAO,São Sebastião,SP,Taubaté,2,2,0.0,0.0,2020-03-27 09:15:32.485977,101.0,10.0,88980.0,441.0
SP TAUBATE,Taubaté,SP,Taubaté,1,1.0,0.0,0.0,2020-03-27 09:15:32.485977,509.0,148.0,314924.0,1146.0
SP TREMEMBE,Tremembé,SP,Taubaté,,1.0,,0.0,,0.0,2.0,47185.0,2414.0
SP UBATUBA,Ubatuba,SP,Taubaté,,1.0,,0.0,,92.0,10.0,90799.0,2128.0
